weight_config,seed,split,task,component,MAE macro [std],MAE pooled [std],RMSE pooled [std],R2 pooled [std],MAE macro [physical],MAE pooled [physical],RMSE pooled [physical],R2 pooled [physical],MAPE macro [%],N cells,N points
soh50,43,val,R1,SOC10_R1,0.37138345337870005,0.38331436299567473,0.6537360917347075,0.8672655108483801,1.452733234120486,1.5247133385515692,3.72725119815858,0.7929832191538357,5.702720462147989,45,658
soh50,43,val,R1,SOC50_R1,0.28553773630809354,0.2953027390644931,0.5182146972007474,0.878499798233834,0.7918110594764091,0.8301277415571581,1.8919790864517938,0.832858788757515,5.020684516682238,45,656
soh50,43,val,R1,SOC90_R1,0.3311831944189074,0.30756167210032764,0.4191645935903123,0.8346760740880408,4.329342509749572,3.569039186814569,6.1105557735458955,0.7853969912893813,12.914335666165004,44,467
soh50,43,val,R2,SOC10_R2,0.32895016449536957,0.34701685819918826,0.7046307763363788,0.7685679848152924,0.5014245066064603,0.5261276609315017,1.129961773690027,0.7071067898306094,4.9989968664831625,45,634
soh50,43,val,R2,SOC50_R2,0.2798675226464447,0.28301582853198937,0.5667517459088165,0.7499159227711232,0.15838095269121455,0.16117019345866151,0.36548313732067106,0.6900174043108505,2.8988910245580644,45,630
soh50,43,val,R2,SOC90_R2,0.2176263802009421,0.1851954203762153,0.3166108148010621,0.7889547923360691,0.27070271625379394,0.23138486731468985,0.4433949036134919,0.7270419902919337,4.525485752186953,42,382
soh50,43,test,SOH,SOH,0.09049804145021319,0.0933003562601385,0.17644159903718243,0.9440625085635135,0.9500368496910707,0.979455191692745,1.8522613110468031,0.9440625085635135,1.366354121049874,45,622
soh50,43,test,R0,SOC10_R0,0.1785593346848814,0.16827337806320583,0.2619695192273957,0.9017585934513449,1.218489445861241,1.1915366673302,1.9175103716192659,0.8924733915483587,3.9893120178848482,45,614
soh50,43,test,R0,SOC50_R0,0.14905468675298733,0.14974074223705844,0.23624844452206498,0.91884766537832,1.056343043531877,1.0918575645564326,1.8074064039457867,0.9058119459592205,3.5920787477503286,45,616
soh50,43,test,R0,SOC90_R0,0.42256943102320704,0.4105784498521992,0.7120246749286442,0.24871445221913657,3.274502444091602,3.255097385856497,4.782670003709653,0.4322933000108853,11.610642596014031,45,558
soh50,43,test,R1,SOC10_R1,0.31555807251555773,0.31715244172842866,0.49877537281150347,0.8619866396125315,1.0847055417897076,1.079288074751552,1.9722105417002627,0.8417400352111043,5.010352202000892,45,613
soh50,43,test,R1,SOC50_R1,0.29286203921961557,0.3047979210389819,0.4844027556815948,0.8370098914592607,0.7516186302455283,0.7868069381578068,1.4507709012896417,0.799653241042677,5.3034419861667885,45,616
soh50,43,test,R1,SOC90_R1,0.2731628095925539,0.27887350608399075,0.39066379031687765,0.7829711832493973,3.0042011806086064,2.8906933157111645,4.833673919567585,0.6655395004146107,11.199190323851509,44,450
soh50,43,test,R2,SOC10_R2,0.26692615041988477,0.2906046421923497,0.627153111020086,0.778734694639505,0.37063771987018906,0.395273840284306,0.811497362006249,0.783566699615365,3.9597801590048207,45,603
soh50,43,test,R2,SOC50_R2,0.2274771242798017,0.2367590449104989,0.3912444687489422,0.8458556447875938,0.12202757050029216,0.12769181630264753,0.22610073079601264,0.8267712459064318,2.4451067030818736,45,599
soh50,43,test,R2,SOC90_R2,0.15073065724027238,0.15052075743169024,0.23886097203864098,0.8743401935906479,0.1788346831900948,0.18378894437883053,0.30539207280737707,0.8503170228573765,3.085484701480495,39,379
soh50,44,val,SOH,SOH,0.11863297736721198,0.11992630730678533,0.21241825019111737,0.924737160504989,1.2453938039026216,1.2589710159805134,2.229939587581907,0.924737160504989,1.8180554940235787,45,662
soh50,44,val,R0,SOC10_R0,0.20294016247881277,0.19945071388706592,0.3385695785642532,0.8321592818368299,1.3438138920663611,1.3471272607852527,2.2921318781880626,0.839931710388035,4.568591388528749,45,659
soh50,44,val,R0,SOC50_R0,0.18801348227822928,0.19242653023666706,0.325922922011465,0.8536905514802149,1.3132346088714002,1.3723877746980213,2.533711549968271,0.8282774075174356,4.419336650517446,45,658
soh50,44,val,R0,SOC90_R0,0.5224418238522139,0.5210728281904683,1.0300472886280145,0.6531811445524531,3.4518548240212947,3.4173516807308837,4.849003598438799,0.7083861987506164,21.056431700986842,45,590
soh50,44,val,R1,SOC10_R1,0.35472266482115883,0.36804685896753664,0.6466165231296984,0.8701408804207663,1.410151115879391,1.4910084351383246,3.7492045780982353,0.7905373941116877,5.40587113793074,45,658
soh50,44,val,R1,SOC50_R1,0.31854290437095034,0.3362176950322464,0.589500988542783,0.8427731828986657,0.894039743236962,0.9524425754750703,2.162127938663676,0.7817201435445692,5.50632995766847,45,656
