weight_config,seed,split,task,MAE macro [std],MAE pooled [std],RMSE pooled [std],R2 pooled [std],MAE macro [physical],MAE pooled [physical],RMSE pooled [physical],R2 pooled [physical],MAPE macro [%]
soh50,44,test,R0,0.2488502144651745,0.24039446109001586,0.3730395960017043,0.7563121343688725,1.8823180881309878,1.8744519272345521,2.7927659152849356,0.7584134843547776,6.5455396614962575
soh50,44,test,R1,0.28571837247566445,0.2891306716937518,0.4406700445130693,0.8397689961203545,1.5836233174572065,1.4968396048699535,2.447839463894234,0.8077823534104337,6.904706703530912
soh50,44,test,R2,0.22083008125029488,0.22971098315135188,0.422297698793322,0.8294102942987679,0.23279321228473834,0.2429374966806005,0.4541965848136029,0.8140080269663047,3.2400908010571645
soh50,44,test,SOH,0.10238119705361269,0.10327491201640038,0.17836621889493623,0.9428355238298031,1.0747846954226632,1.0841668006501632,1.8724657238408542,0.9428355238298031,1.5284906691502032
soh50,44,val,R0,0.30446515620308534,0.3043166907714004,0.5648465964012442,0.779676992623166,2.036301108319685,2.0456222387380527,3.2249490088650443,0.7921984388853623,10.014786580011013
soh50,44,val,R1,0.340720108499219,0.34107110058221396,0.5606126942155331,0.8419928400856933,2.289302392837468,2.052594103883366,4.281826135225452,0.7653023297381875,8.022079939760756
soh50,44,val,R2,0.2794527318900338,0.27446674729824744,0.5394445449118924,0.7614271989385416,0.3101019170474697,0.3037671890460512,0.6486226238910556,0.6988181806027862,4.1150298873303655
soh50,44,val,SOH,0.11863297736721198,0.11992630730678533,0.21241825019111737,0.924737160504989,1.2453938039026216,1.2589710159805134,2.229939587581907,0.924737160504989,1.8180554940235787
soh50,45,test,R0,0.25080595409305245,0.24602358243341405,0.37581189616177507,0.754144382857539,1.9076962285169998,1.9229608225481878,2.8171861099191666,0.7521452589850882,6.605279127382654
soh50,45,test,R1,0.3000438010410776,0.30096942028276485,0.4502343955292627,0.8343172881094606,1.607319965852511,1.5106238373833776,2.4734053832058875,0.8019704008932046,7.146639903891188
soh50,45,test,R2,0.2453643752832354,0.25897366235178726,0.4497163376257845,0.8068684373768346,0.2604671611475787,0.2755905117594239,0.4833541961252168,0.7934525558115949,3.6155205053165957
soh50,45,test,SOH,0.1263351943270246,0.1313887589200852,0.20570187687618682,0.9239713069704173,1.3262506911775036,1.3793023651006668,2.1594319606408736,0.9239713069704173,1.868447234507595
soh50,45,val,R0,0.30116259774975845,0.3020622861909272,0.5715035588741769,0.7760394468903691,2.004474972346145,2.0211257111789624,3.181841938690535,0.7981124172349007,10.296523396260818
soh50,45,val,R1,0.3412107058364538,0.34025548102127673,0.5493875675093864,0.846657820800683,2.2945049799247617,2.0639746605226,4.250708461674479,0.7750409754790181,8.203135842336529
soh50,45,val,R2,0.2667957733537704,0.26084538113704736,0.4924334594634118,0.7862008213136846,0.30149996451241684,0.29532500924325494,0.6142371131318575,0.7180750552113008,3.948681966531837
soh50,45,val,SOH,0.10091878468921392,0.10256325820949086,0.1737400947986272,0.9496502807188801,1.0594324777021604,1.0766959501217683,1.8239012655132643,0.9496502807188801,1.5177554984361412
soh50,46,test,R0,0.26081276912405377,0.2514687320933255,0.4051469994866685,0.6914364216326291,1.9302416604932373,1.9074130518089032,2.891785993812546,0.7315172103238891,6.536099265320005
soh50,46,test,R1,0.3265919510445184,0.3271353379015965,0.5061930791458918,0.7945847795201755,1.8049292244621054,1.7248873175264787,3.0148408821094557,0.7172362284501362,7.910412275635736
soh50,46,test,R2,0.2445047737719753,0.25385493734047837,0.43596160512611065,0.8161876557710626,0.2642415166425888,0.2750196741812674,0.4774063942136462,0.7972608068313783,3.604037274535731
soh50,46,test,SOH,0.09894249077039165,0.09709376357855137,0.16722458869480966,0.9497540237146517,1.0386855972325486,1.019277895926213,1.755502316830832,0.9497540237146517,1.4602658633779568
soh50,46,val,R0,0.31029384928471065,0.31057096073252194,0.5614006568046442,0.7837588868869272,2.047024823424024,2.0582479508709364,3.2401209483966653,0.7908945440333578,9.697619300966764
soh50,46,val,R1,0.35515551358133796,0.35797385363600537,0.5782256028530932,0.8340391464668199,2.2894979434579597,2.1421296165311223,4.250317821667802,0.7702583602553537,8.486371381210501
soh50,46,val,R2,0.300350274928568,0.2930652742753605,0.5097127645689533,0.7774640058904989,0.343424855768278,0.33508041664028193,0.6254259839882561,0.7141136439594084,4.478396787109053
soh50,46,val,SOH,0.1126176126815295,0.11327305826143252,0.18070954518293886,0.9455297797982641,1.1822452757781465,1.1891260595376223,1.8970656631188445,0.9455297797982641,1.693368404091537
