weight_config,task,horizon,MAE_std_mean,MAE_std_std,RMSE_std_mean,RMSE_std_std,MAE_phys_mean,MAE_phys_std,RMSE_phys_mean,RMSE_phys_std,N_component_min,N_component_max
soh50,R0,17,0.1546595625461094,0.02958573554716803,0.19817371736802894,0.03134921229416386,1.3836725544704653,0.27443804489994233,1.7150191235015062,0.2730669893255967,3,7
soh50,R0,18,0.38733740316496956,0.04638491850293278,0.4049690769840265,0.049716645811925114,3.216265784782512,0.42451517128738053,3.3537561269869713,0.45133396085355876,1,3
soh50,R1,1,0.16460381932589557,0.005032248737981039,0.2395226413768997,0.00401469037162,0.7891638513089998,0.03773922239992021,1.3385147480424766,0.06925258948109043,44,45
soh50,R1,2,0.19515108731939593,0.012535633567709724,0.2649256610344148,0.016016132762088645,0.8475094736686593,0.05854654146745627,1.28471102424928,0.1210722307328024,41,45
soh50,R1,3,0.19947786302125406,0.013380268176261402,0.279749149364675,0.01896392026674434,0.8470197048173862,0.0673420533809009,1.2505427863741077,0.10686478169495288,39,45
soh50,R1,4,0.23454552184622351,0.016212740441136218,0.35723280907542293,0.030223836753915784,1.1356933341439692,0.08400883545458002,1.9070953051545838,0.23714230702402406,35,42
soh50,R1,5,0.3217406746681003,0.013455163773592387,0.48807208702045646,0.027367915464116162,1.631631848393885,0.07991357185169813,2.6326294416433274,0.21880063944337783,35,42
soh50,R1,6,0.31826080333747586,0.020901626649644435,0.45503898789284253,0.03567918150336161,1.6079183739754999,0.10226139573534009,2.370571699990652,0.2545473930404569,34,42
soh50,R1,7,0.31128738027711733,0.015536522653181712,0.4668491991144609,0.026163628777394407,1.599209672353187,0.08459300425884911,2.480359160442341,0.26935881773316134,33,42
soh50,R1,8,0.3601474530395441,0.015388683541316305,0.5300999534892691,0.02122050589175919,1.8950169702514525,0.11694147100682295,2.9119370925559798,0.2462505367467507,31,42
soh50,R1,9,0.38054726649370274,0.025755022818733278,0.5712352738906012,0.04017520656741228,1.8499152778736363,0.13934533565594642,3.1031273923045193,0.36146125965309406,26,40
soh50,R1,10,0.3315652352729428,0.029659060582554856,0.49059640555164474,0.05384045825205304,1.8039505589204985,0.17958457948288087,2.94035796264404,0.4551061239420161,27,41
soh50,R1,11,0.38558568953822775,0.029864705859537925,0.5475629980174153,0.05195973804492637,2.227020539825696,0.24880930964775813,3.2861097414573424,0.4257539210710324,27,41
soh50,R1,12,0.44482709370472184,0.010609757726662027,0.6696561827650396,0.01698644892512873,2.770013106350446,0.1263638357161242,4.211464643340209,0.27186121826069365,21,32
soh50,R1,13,0.31910314582404686,0.0356201542091323,0.43113502791411784,0.04445555315871073,1.7288881689287892,0.2220999101207269,2.567672899794311,0.21416928223063278,20,32
soh50,R1,14,0.4023368577323394,0.03390822999146786,0.5380646382742619,0.04739006815540503,2.4939139093234095,0.3736253875570058,3.5726325134196877,0.8486671270610266,12,27
soh50,R1,15,0.32577584782184965,0.03192476367392437,0.4480702573097338,0.0365663753227702,2.0335888334253034,0.3863601007512072,2.980353114328615,0.7974099544290251,14,27
soh50,R1,16,0.357338366235071,0.015560437276785442,0.5025959159634874,0.029337749413424763,1.8051399746486556,0.21734583162799748,2.842306912263877,0.4298134832433426,10,24
soh50,R1,17,0.39778333863332155,0.0476795247369328,0.43128821725011546,0.05167900310773644,2.122893423304689,0.24417362893772745,2.210376913352168,0.2631863925745158,1,7
soh50,R1,18,0.3796925127506256,0.07678894116192708,0.4810839716675944,0.06402986039259011,1.1395055172486042,0.22961768533231847,1.4919223354225633,0.20344534518684274,3,3
soh50,R2,1,0.1229717542766503,0.019732636108019883,0.17335573862740522,0.022009208336127472,0.1236793690642152,0.024163057469770665,0.18058436789463145,0.02767903344918341,39,44
soh50,R2,2,0.1357374812548773,0.011440721348737352,0.2154528606703515,0.010977089732121678,0.13469515798141538,0.012756399720947912,0.21354674176736138,0.009164155830565374,38,45
soh50,R2,3,0.15906267716793926,0.009577183871996305,0.2753036418731844,0.01699886354267005,0.15667831842238306,0.011095382873200818,0.27529923449715227,0.013159545634803399,38,45
soh50,R2,4,0.14191197642934877,0.014214542734794212,0.21223319441599475,0.014620049931692669,0.15407775604142854,0.018365066889555182,0.2443586972921426,0.020821809779848866,29,42
soh50,R2,5,0.21478252037432694,0.014960800573071545,0.33709180072857947,0.013289942188365416,0.2283423654825177,0.019894581093967773,0.3687400245994931,0.018067262137946072,29,42
soh50,R2,6,0.19732675209961675,0.019188464612801305,0.35136248099668854,0.023316359599481612,0.19943062305113257,0.023477954466400327,0.34536555872938,0.028943565381610994,31,42
soh50,R2,7,0.21072703205535026,0.018244118944972902,0.35692073232575167,0.027248474845068836,0.21800201214010131,0.022930104826480568,0.3658033467330294,0.03228287221742695,30,42
soh50,R2,8,0.2735168687898831,0.01862818111171562,0.4789752142812036,0.026280520467081403,0.30201116116249216,0.020475201864589235,0.5500822680418891,0.036815779977193014,29,41
soh50,R2,9,0.2996350766078999,0.018082783554943596,0.45247076734052805,0.01792920876092102,0.32465974018922605,0.021776879428311427,0.4760857833460067,0.021365231477892398,20,40
soh50,R2,10,0.2764748432732834,0.01959464921896803,0.4304110450317792,0.020470241621131147,0.29645406292901305,0.025998442287932196,0.45090196632681223,0.02671998055359293,18,38
