split,task,component,MAE macro [std],MAE macro [std],MAE pooled [std],MAE pooled [std],RMSE pooled [std],RMSE pooled [std],R2 pooled [std],R2 pooled [std],MAE macro [physical],MAE macro [physical],MAE pooled [physical],MAE pooled [physical],RMSE pooled [physical],RMSE pooled [physical],R2 pooled [physical],R2 pooled [physical],MAPE macro [%],MAPE macro [%]
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
val,R0,SOC10_R0,0.198120978735926,0.0058220860357371855,0.19476367019541557,0.004904856626151707,0.3377755393780478,0.0043974903038248615,0.8329229726314864,0.004370075858693494,1.3113760369894893,0.032876689143199994,1.311933175890522,0.03040465420218874,2.2683931024524835,0.01675367514911055,0.8432232382653077,0.0023188754677137854,4.46266705140164,0.14494522754295164
val,R0,SOC50_R0,0.17611669793951273,0.00918156113025562,0.1776044963711822,0.010628986149884858,0.3104597765589067,0.01070379887489005,0.8671180362130867,0.009205546932737528,1.221415390182959,0.06760778833321235,1.2612332765884726,0.07790954448878468,2.399546272144017,0.09727000373318873,0.8457795749943718,0.012522834289459885,4.176621099327536,0.20066590280964136
val,R0,SOC90_R0,0.5318284796889841,0.019842379589468336,0.5308181108272501,0.02276373354059456,1.0183363233835618,0.04643364029561001,0.6604586976438627,0.030705530714171165,3.498133411580544,0.10859922554340141,3.4791261296479705,0.12530935799589768,4.877138530784792,0.17793262847220126,0.7046782466859364,0.021656163785655144,20.600704551954475,1.384610829413981
val,R1,SOC10_R1,0.3742689671239333,0.020152243856492807,0.38537462266624867,0.017687723031285987,0.6667345805600318,0.02349548251564228,0.861797448303968,0.009903448576483256,1.4711964839772966,0.09449145818031368,1.54193359934201,0.08193205919378865,3.833852765188676,0.09493461764000806,0.7808648380891782,0.01084820089879944,5.783679084725717,0.45557425350844594
val,R1,SOC50_R1,0.3092011033912331,0.01684799937635601,0.3206421481181368,0.01776542701600729,0.5445618428161523,0.034772911790721714,0.8653934155621054,0.01736625150831253,0.8600947645191537,0.0565759677966889,0.9016690298376376,0.05885117812067638,1.9721194486547529,0.13218600985193923,0.8177466879539569,0.024767949124608248,5.477870528575977,0.3694555761757265
val,R1,SOC90_R1,0.3414338793975039,0.011441039058778925,0.31995183839644675,0.007724976847112008,0.44380994357049197,0.015490587433416903,0.8144830281445833,0.012785454711597581,4.48083225858902,0.1566737010528841,3.731013548481144,0.09866397967293965,6.7883837203423,0.40582052191323115,0.7343883889331553,0.030826651612374516,13.253014661493046,0.3886360788282144
val,R2,SOC10_R2,0.33086386444130933,0.02380772522897885,0.34475188875770674,0.023031160350388463,0.6613635857847575,0.057265959097707264,0.7948942322992443,0.03443107537126231,0.5066003003355496,0.0380970349399388,0.5255445880331089,0.03663923636111382,1.0834072820175518,0.050593058243594384,0.7302743190084733,0.024865021142802708,4.953592079372858,0.41116017067519794
val,R2,SOC50_R2,0.28692546961825677,0.013711828615123637,0.2895854400538115,0.012811483867915266,0.5741219710144075,0.02014924051460276,0.7431164040954037,0.01836124991850888,0.16255271236621685,0.007625177653991262,0.1652079825353895,0.007164925539775047,0.3688306822901202,0.011183880912879614,0.684080785899772,0.0194598758906612,2.9811264456229685,0.15229334860582663
val,R2,SOC90_R2,0.22179005825794257,0.015027323571099881,0.19016510778306667,0.013766034484326506,0.3215072341473719,0.012526540643756008,0.782112357073526,0.016957316994695153,0.2744819494032607,0.01685640462019375,0.23581684196106253,0.01623815416543873,0.45033385347413635,0.011863839519302519,0.7182754420457975,0.014910510609969873,4.5907291831283565,0.30325236249146637
val,SOH,SOH,0.10717735810722513,0.008038680390075673,0.10867557900815675,0.007817842826591587,0.19200712208033593,0.015173152649219552,0.9381989465602922,0.009755868938199318,1.125134179952576,0.08438903727725795,1.14086231110385,0.08207071281692929,2.015666178585806,0.15928581339162576,0.9381989465602922,0.009755868938199309,1.6325630524325678,0.12255363729947671
