电芯编号,电芯文件夹,文件数量,成功读取文件数,通过筛选的 SOH 数量,初始 SOH,最终 SOH,SOH 覆盖范围,SOH 覆盖跨度,温度,工况,是否存在缺失或异常,异常说明,最终 SOH 分组,工况分组
117,METABatt_Sony_Murata_18650VTC6_117,26,26,13,95.9,68.2,68.2–95.9,27.700000000000003,24.50–25.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
118,METABatt_Sony_Murata_18650VTC6_118,30,30,15,96.4,65.4,65.4–96.4,31.0,24.50–25.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 15 个,60–70,"PUL, PAU"
119,METABatt_Sony_Murata_18650VTC6_119,22,22,12,95.9,68.0,68.0–95.9,27.900000000000006,19.69–25.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 10 个,60–70,"PUL, PAU"
121,METABatt_Sony_Murata_18650VTC6_121,5,5,5,96.4,93.0,93.0–96.4,3.4000000000000057,24.44–25.56,"PUL, PAU",False,无,90–95,"PUL, PAU"
122,METABatt_Sony_Murata_18650VTC6_122,22,22,19,95.9,72.6,72.6–95.9,23.30000000000001,20.06–25.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 3 个,70–75,"PUL, PAU"
123,METABatt_Sony_Murata_18650VTC6_123,5,5,5,96.5,92.2,92.2–96.5,4.299999999999997,24.38–25.56,"PUL, PAU",False,无,90–95,"PUL, PAU"
124,METABatt_Sony_Murata_18650VTC6_124,28,27,8,96.4,62.3,62.3–96.4,34.10000000000001,24.75–29.62,"PUL, PAU",True,无法使用的文件 1 个；未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,60–70,"PUL, PAU"
125,METABatt_Sony_Murata_18650VTC6_125,5,5,5,96.4,92.9,92.9–96.4,3.5,24.44–25.69,"PUL, PAU",False,无,90–95,"PUL, PAU"
126,METABatt_Sony_Murata_18650VTC6_126,5,5,5,96.1,91.9,91.9–96.1,4.199999999999989,24.31–25.50,"PUL, PAU",False,无,90–95,"PUL, PAU"
127,METABatt_Sony_Murata_18650VTC6_127,30,30,29,96.0,81.9,81.9–96.0,14.099999999999994,24.69–26.44,"PUL, PAU",False,无,80–85,"PUL, PAU"
128,METABatt_Sony_Murata_18650VTC6_128,22,22,14,96.3,67.9,67.9–96.3,28.39999999999999,19.75–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 8 个,60–70,"PUL, PAU"
129,METABatt_Sony_Murata_18650VTC6_129,26,26,18,96.3,68.6,68.6–96.3,27.700000000000003,24.50–25.81,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 8 个,60–70,"PUL, PAU"
130,METABatt_Sony_Murata_18650VTC6_130,22,22,18,95.8,71.9,71.9–95.8,23.89999999999999,20.12–25.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 4 个,70–75,"PUL, PAU"
131,METABatt_Sony_Murata_18650VTC6_131,6,6,6,96.3,86.8,86.8–96.3,9.5,24.38–25.44,"PUL, PAU",False,无,85–90,"PUL, PAU"
132,METABatt_Sony_Murata_18650VTC6_132,30,30,14,95.8,65.3,65.3–95.8,30.5,22.94–25.62,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 16 个,60–70,"PUL, PAU"
