电芯编号,电芯文件夹,文件数量,成功读取文件数,通过筛选的 SOH 数量,初始 SOH,最终 SOH,SOH 覆盖范围,SOH 覆盖跨度,温度,工况,是否存在缺失或异常,异常说明,最终 SOH 分组,工况分组
335,METABatt_Sony_Murata_18650VTC6_335,26,26,21,96.7,72.0,72.0–96.7,24.700000000000003,22.44–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 5 个,70–75,"PUL, PAU"
336,METABatt_Sony_Murata_18650VTC6_336,27,27,23,96.7,72.6,72.6–96.7,24.10000000000001,22.19–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 4 个,70–75,"PUL, PAU"
337,METABatt_Sony_Murata_18650VTC6_337,27,27,22,96.9,71.9,71.9–96.9,25.0,22.12–25.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 5 个,70–75,"PUL, PAU"
338,METABatt_Sony_Murata_18650VTC6_338,27,27,11,97.1,54.4,54.4–97.1,42.699999999999996,21.94–25.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 16 个,≤60,"PUL, PAU"
339,METABatt_Sony_Murata_18650VTC6_339,26,26,17,96.9,62.4,62.4–96.9,34.50000000000001,22.62–25.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 9 个,60–70,"PUL, PAU"
341,METABatt_Sony_Murata_18650VTC6_341,27,27,11,96.9,58.0,58.0–96.9,38.900000000000006,21.94–25.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 16 个,≤60,"PUL, PAU"
342,METABatt_Sony_Murata_18650VTC6_342,27,27,13,96.8,58.1,58.1–96.8,38.699999999999996,22.19–25.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 14 个,≤60,"PUL, PAU"
344,METABatt_Sony_Murata_18650VTC6_344,27,27,12,96.7,57.1,57.1–96.7,39.6,22.38–25.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 15 个,≤60,"PUL, PAU"
345,METABatt_Sony_Murata_18650VTC6_345,26,26,18,96.7,69.9,69.9–96.7,26.799999999999997,22.12–25.12,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 8 个,60–70,"PUL, PAU"
346,METABatt_Sony_Murata_18650VTC6_346,26,26,21,96.8,71.9,71.9–96.8,24.89999999999999,22.25–25.06,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 5 个,70–75,"PUL, PAU"
347,METABatt_Sony_Murata_18650VTC6_347,26,26,19,96.8,70.8,70.8–96.8,26.0,22.19–25.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 7 个,70–75,"PUL, PAU"
348,METABatt_Sony_Murata_18650VTC6_348,26,26,22,96.8,72.4,72.4–96.8,24.39999999999999,22.50–25.12,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 4 个,70–75,"PUL, PAU"
349,METABatt_Sony_Murata_18650VTC6_349,26,26,8,96.9,50.6,50.6–96.9,46.300000000000004,22.12–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,≤60,"PUL, PAU"
350,METABatt_Sony_Murata_18650VTC6_350,26,26,19,96.9,71.5,71.5–96.9,25.400000000000006,22.25–25.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 7 个,70–75,"PUL, PAU"
351,METABatt_Sony_Murata_18650VTC6_351,26,26,24,97.2,73.4,73.4–97.2,23.799999999999997,22.25–25.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,70–75,"PUL, PAU"
352,METABatt_Sony_Murata_18650VTC6_352,26,26,22,97.1,72.5,72.5–97.1,24.599999999999994,22.19–25.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 4 个,70–75,"PUL, PAU"
353,METABatt_Sony_Murata_18650VTC6_353,27,27,27,97.4,74.7,74.7–97.4,22.700000000000003,22.12–25.56,"PUL, PAU",False,无,70–75,"PUL, PAU"
357,METABatt_Sony_Murata_18650VTC6_357,26,26,23,97.3,73.1,73.1–97.3,24.200000000000003,22.19–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 3 个,70–75,"PUL, PAU"
358,METABatt_Sony_Murata_18650VTC6_358,26,26,21,97.3,72.0,72.0–97.3,25.299999999999997,22.19–25.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 5 个,70–75,"PUL, PAU"
362,METABatt_Sony_Murata_18650VTC6_362,26,26,21,97.4,71.5,71.5–97.4,25.900000000000006,22.12–25.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 5 个,70–75,"PUL, PAU"
418,METABatt_Sony_Murata_18650VTC6_418,1,1,0,91.4,91.4,91.4–91.4,0.0,24.69–24.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
423,METABatt_Sony_Murata_18650VTC6_423,1,1,0,91.9,91.9,91.9–91.9,0.0,24.81–25.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
424,METABatt_Sony_Murata_18650VTC6_424,1,1,0,91.9,91.9,91.9–91.9,0.0,24.81–25.12,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
429,METABatt_Sony_Murata_18650VTC6_429,1,1,0,92.0,92.0,92.0–92.0,0.0,24.88–25.00,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
434,METABatt_Sony_Murata_18650VTC6_434,1,1,0,92.0,92.0,92.0–92.0,0.0,24.62–24.81,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
503,METABatt_Sony_Murata_18650VTC6_503,19,19,7,98.4,62.9,62.9–98.4,35.50000000000001,24.44–25.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
504,METABatt_Sony_Murata_18650VTC6_504,18,18,12,98.3,67.1,67.1–98.3,31.200000000000003,24.31–25.81,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 6 个,60–70,"PUL, PAU"
505,METABatt_Sony_Murata_18650VTC6_505,19,19,14,98.3,69.7,69.7–98.3,28.599999999999994,24.25–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 5 个,60–70,"PUL, PAU"
506,METABatt_Sony_Murata_18650VTC6_506,15,15,1,96.3,63.0,63.0–96.3,33.3,24.31–46.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
507,METABatt_Sony_Murata_18650VTC6_507,18,18,14,98.4,70.1,70.1–98.4,28.30000000000001,24.12–25.75,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 4 个,70–75,"PUL, PAU"
508,METABatt_Sony_Murata_18650VTC6_508,19,19,12,98.2,67.2,67.2–98.2,31.0,24.38–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 7 个,60–70,"PUL, PAU"
509,METABatt_Sony_Murata_18650VTC6_509,19,19,17,98.1,72.8,72.8–98.1,25.299999999999997,24.19–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,70–75,"PUL, PAU"
510,METABatt_Sony_Murata_18650VTC6_510,19,19,1,98.5,69.7,69.7–98.5,28.799999999999997,24.50–26.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,60–70,"PUL, PAU"
511,METABatt_Sony_Murata_18650VTC6_511,19,19,14,98.2,69.7,69.7–98.2,28.5,23.94–25.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 5 个,60–70,"PUL, PAU"
512,METABatt_Sony_Murata_18650VTC6_512,19,19,1,98.3,75.2,75.2–98.3,23.099999999999994,24.38–26.06,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,75–80,"PUL, PAU"
513,METABatt_Sony_Murata_18650VTC6_513,19,19,17,98.3,73.6,73.6–98.3,24.700000000000003,23.88–25.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,70–75,"PUL, PAU"
514,METABatt_Sony_Murata_18650VTC6_514,19,19,14,98.5,69.8,69.8–98.5,28.700000000000003,24.19–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 5 个,60–70,"PUL, PAU"
515,METABatt_Sony_Murata_18650VTC6_515,19,19,14,98.4,70.0,70.0–98.4,28.400000000000006,24.25–25.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 5 个,60–70,"PUL, PAU"
516,METABatt_Sony_Murata_18650VTC6_516,19,19,14,98.4,71.4,71.4–98.4,27.0,24.12–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 5 个,70–75,"PUL, PAU"
517,METABatt_Sony_Murata_18650VTC6_517,19,19,14,98.4,68.1,68.1–98.4,30.30000000000001,24.31–25.62,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 5 个,60–70,"PUL, PAU"
518,METABatt_Sony_Murata_18650VTC6_518,19,19,1,98.3,69.7,69.7–98.3,28.599999999999994,24.25–25.81,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,60–70,"PUL, PAU"
519,METABatt_Sony_Murata_18650VTC6_519,19,19,9,98.4,65.0,65.0–98.4,33.400000000000006,23.94–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 10 个,60–70,"PUL, PAU"
521,METABatt_Sony_Murata_18650VTC6_521,19,19,7,98.3,62.8,62.8–98.3,35.5,24.19–25.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 12 个,60–70,"PUL, PAU"
522,METABatt_Sony_Murata_18650VTC6_522,18,18,1,98.3,69.8,69.8–98.3,28.5,24.50–25.62,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 17 个,60–70,"PUL, PAU"
523,METABatt_Sony_Murata_18650VTC6_523,19,19,17,98.3,73.7,73.7–98.3,24.599999999999994,24.00–25.62,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,70–75,"PUL, PAU"
527,METABatt_Sony_Murata_18650VTC6_527,19,19,12,98.3,67.3,67.3–98.3,31.0,24.31–25.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 7 个,60–70,"PUL, PAU"
528,METABatt_Sony_Murata_18650VTC6_528,19,19,1,98.5,64.5,64.5–98.5,34.0,24.00–25.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,60–70,"PUL, PAU"
529,METABatt_Sony_Murata_18650VTC6_529,19,19,9,98.3,64.7,64.7–98.3,33.599999999999994,23.81–24.81,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 10 个,60–70,"PUL, PAU"
530,METABatt_Sony_Murata_18650VTC6_530,19,19,1,98.5,62.8,62.8–98.5,35.7,24.31–25.44,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,60–70,"PUL, PAU"
532,METABatt_Sony_Murata_18650VTC6_532,19,19,18,98.3,74.0,74.0–98.3,24.299999999999997,23.81–25.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,70–75,"PUL, PAU"
533,METABatt_Sony_Murata_18650VTC6_533,19,19,12,98.4,67.2,67.2–98.4,31.200000000000003,24.25–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 7 个,60–70,"PUL, PAU"
534,METABatt_Sony_Murata_18650VTC6_534,19,19,1,98.5,67.6,67.6–98.5,30.900000000000006,24.56–25.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,60–70,"PUL, PAU"
535,METABatt_Sony_Murata_18650VTC6_535,18,18,12,98.4,67.9,67.9–98.4,30.5,24.19–25.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 6 个,60–70,"PUL, PAU"
536,METABatt_Sony_Murata_18650VTC6_536,19,19,8,98.2,64.6,64.6–98.2,33.60000000000001,23.81–24.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 11 个,60–70,"PUL, PAU"
537,METABatt_Sony_Murata_18650VTC6_537,19,19,14,98.4,69.7,69.7–98.4,28.700000000000003,23.75–25.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 5 个,60–70,"PUL, PAU"
538,METABatt_Sony_Murata_18650VTC6_538,19,19,17,98.3,73.6,73.6–98.3,24.700000000000003,24.25–25.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,70–75,"PUL, PAU"
539,METABatt_Sony_Murata_18650VTC6_539,19,19,1,98.2,73.0,73.0–98.2,25.200000000000003,24.12–25.69,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,70–75,"PUL, PAU"
540,METABatt_Sony_Murata_18650VTC6_540,19,19,13,98.4,70.5,70.5–98.4,27.900000000000006,24.38–25.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 6 个,70–75,"PUL, PAU"
541,METABatt_Sony_Murata_18650VTC6_541,19,19,18,98.4,74.4,74.4–98.4,24.0,24.00–25.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,70–75,"PUL, PAU"
542,METABatt_Sony_Murata_18650VTC6_542,19,19,1,98.2,82.5,82.5–98.2,15.700000000000003,24.00–25.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,80–85,"PUL, PAU"
543,METABatt_Sony_Murata_18650VTC6_543,18,16,1,107.3,53.8,53.8–107.3,53.5,24.44–25.69,"PUL, PAU",True,无法使用的文件 2 个；未通过三 SOC/四脉冲筛选的 SOH 阶段 15 个,≤60,"PUL, PAU"
544,METABatt_Sony_Murata_18650VTC6_544,19,19,17,98.4,73.0,73.0–98.4,25.400000000000006,24.19–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,70–75,"PUL, PAU"
545,METABatt_Sony_Murata_18650VTC6_545,19,19,13,98.6,70.4,70.4–98.6,28.19999999999999,24.25–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 6 个,70–75,"PUL, PAU"
546,METABatt_Sony_Murata_18650VTC6_546,19,19,14,98.6,69.8,69.8–98.6,28.799999999999997,24.31–26.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 5 个,60–70,"PUL, PAU"
547,METABatt_Sony_Murata_18650VTC6_547,19,19,1,98.4,69.8,69.8–98.4,28.60000000000001,24.44–26.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 18 个,60–70,"PUL, PAU"
548,METABatt_Sony_Murata_18650VTC6_548,19,19,17,98.4,73.4,73.4–98.4,25.0,23.94–25.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,70–75,"PUL, PAU"
549,METABatt_Sony_Murata_18650VTC6_549,19,19,6,98.5,63.0,63.0–98.5,35.5,24.38–26.50,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 13 个,60–70,"PUL, PAU"
550,METABatt_Sony_Murata_18650VTC6_550,19,19,13,98.4,70.3,70.3–98.4,28.10000000000001,24.38–25.56,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 6 个,70–75,"PUL, PAU"
551,METABatt_Sony_Murata_18650VTC6_551,1,1,0,91.8,91.8,91.8–91.8,0.0,24.75–25.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
552,METABatt_Sony_Murata_18650VTC6_552,1,1,0,91.8,91.8,91.8–91.8,0.0,24.56–25.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
553,METABatt_Sony_Murata_18650VTC6_553,1,1,0,92.0,92.0,92.0–92.0,0.0,24.44–24.75,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
554,METABatt_Sony_Murata_18650VTC6_554,1,1,0,91.8,91.8,91.8–91.8,0.0,24.50–24.94,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
555,METABatt_Sony_Murata_18650VTC6_555,1,1,0,91.8,91.8,91.8–91.8,0.0,24.38–24.75,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
556,METABatt_Sony_Murata_18650VTC6_556,1,1,0,91.8,91.8,91.8–91.8,0.0,24.50–24.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
557,METABatt_Sony_Murata_18650VTC6_557,1,1,0,91.9,91.9,91.9–91.9,0.0,24.56–25.06,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
559,METABatt_Sony_Murata_18650VTC6_559,4,2,0,91.9,91.8,91.8–91.9,0.10000000000000853,24.81–25.00,"PAU, PUL",True,无法使用的文件 2 个；未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,90–95,"PAU, PUL"
560,METABatt_Sony_Murata_18650VTC6_560,1,1,0,91.7,91.7,91.7–91.7,0.0,24.94–25.12,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
561,METABatt_Sony_Murata_18650VTC6_561,1,1,0,91.8,91.8,91.8–91.8,0.0,24.62–25.12,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
563,METABatt_Sony_Murata_18650VTC6_563,1,1,0,91.9,91.9,91.9–91.9,0.0,24.50–24.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
564,METABatt_Sony_Murata_18650VTC6_564,1,1,0,91.7,91.7,91.7–91.7,0.0,24.94–25.31,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
565,METABatt_Sony_Murata_18650VTC6_565,1,1,0,92.1,92.1,92.1–92.1,0.0,24.69–24.88,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
566,METABatt_Sony_Murata_18650VTC6_566,1,1,0,91.9,91.9,91.9–91.9,0.0,24.31–24.81,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
567,METABatt_Sony_Murata_18650VTC6_567,1,1,0,91.8,91.8,91.8–91.8,0.0,24.81–25.12,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
568,METABatt_Sony_Murata_18650VTC6_568,1,1,0,91.8,91.8,91.8–91.8,0.0,24.50–24.81,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
569,METABatt_Sony_Murata_18650VTC6_569,1,1,0,91.8,91.8,91.8–91.8,0.0,24.81–25.38,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
570,METABatt_Sony_Murata_18650VTC6_570,1,1,0,91.7,91.7,91.7–91.7,0.0,24.75–25.25,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
571,METABatt_Sony_Murata_18650VTC6_571,1,1,0,91.7,91.7,91.7–91.7,0.0,24.50–24.62,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
572,METABatt_Sony_Murata_18650VTC6_572,19,19,17,98.8,73.9,73.9–98.8,24.89999999999999,23.81–25.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 2 个,70–75,"PUL, PAU"
574,METABatt_Sony_Murata_18650VTC6_574,1,1,0,92.1,92.1,92.1–92.1,0.0,24.94–25.19,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
575,METABatt_Sony_Murata_18650VTC6_575,1,1,0,91.9,91.9,91.9–91.9,0.0,24.50–25.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
576,METABatt_Sony_Murata_18650VTC6_576,1,1,0,91.9,91.9,91.9–91.9,0.0,24.50–24.88,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
578,METABatt_Sony_Murata_18650VTC6_578,1,1,0,91.8,91.8,91.8–91.8,0.0,24.62–25.06,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
579,METABatt_Sony_Murata_18650VTC6_579,1,1,0,91.7,91.7,91.7–91.7,0.0,24.44–24.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
580,METABatt_Sony_Murata_18650VTC6_580,1,1,0,91.7,91.7,91.7–91.7,0.0,24.75–25.12,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
581,METABatt_Sony_Murata_18650VTC6_581,1,1,0,91.6,91.6,91.6–91.6,0.0,24.69–25.12,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
582,METABatt_Sony_Murata_18650VTC6_582,1,1,0,91.8,91.8,91.8–91.8,0.0,24.50–24.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
583,METABatt_Sony_Murata_18650VTC6_583,1,1,0,91.7,91.7,91.7–91.7,0.0,24.50–25.12,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
585,METABatt_Sony_Murata_18650VTC6_585,1,1,0,91.8,91.8,91.8–91.8,0.0,24.94–25.44,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
587,METABatt_Sony_Murata_18650VTC6_587,1,1,0,91.8,91.8,91.8–91.8,0.0,24.69–25.00,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
588,METABatt_Sony_Murata_18650VTC6_588,1,1,0,91.9,91.9,91.9–91.9,0.0,24.44–24.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
589,METABatt_Sony_Murata_18650VTC6_589,1,1,0,91.8,91.8,91.8–91.8,0.0,24.56–25.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
590,METABatt_Sony_Murata_18650VTC6_590,1,1,0,91.7,91.7,91.7–91.7,0.0,24.56–25.12,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
592,METABatt_Sony_Murata_18650VTC6_592,1,1,0,91.9,91.9,91.9–91.9,0.0,24.62–24.88,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
593,METABatt_Sony_Murata_18650VTC6_593,1,1,0,92.0,92.0,92.0–92.0,0.0,24.50–24.94,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
594,METABatt_Sony_Murata_18650VTC6_594,1,1,0,91.8,91.8,91.8–91.8,0.0,24.62–25.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
595,METABatt_Sony_Murata_18650VTC6_595,1,1,0,91.9,91.9,91.9–91.9,0.0,24.62–25.00,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
596,METABatt_Sony_Murata_18650VTC6_596,1,1,0,91.9,91.9,91.9–91.9,0.0,24.81–24.94,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
597,METABatt_Sony_Murata_18650VTC6_597,1,1,0,91.7,91.7,91.7–91.7,0.0,24.75–25.25,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
598,METABatt_Sony_Murata_18650VTC6_598,1,1,0,91.7,91.7,91.7–91.7,0.0,24.69–25.06,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
599,METABatt_Sony_Murata_18650VTC6_599,1,1,0,91.7,91.7,91.7–91.7,0.0,24.69–25.00,"PUL, PAU",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PUL, PAU"
600,METABatt_Sony_Murata_18650VTC6_600,1,1,0,91.7,91.7,91.7–91.7,0.0,24.69–25.06,"PAU, PUL",True,未通过三 SOC/四脉冲筛选的 SOH 阶段 1 个,90–95,"PAU, PUL"
