Battery_ID,筛选分类,split,ordinal,SOH,capacity_SOH,10%_CHA_1.5A__R0,10%_CHA_3.0A__R0,50%_CHA_1.5A__R0,50%_CHA_3.0A__R0,50%_DCH_3.0A__R0,90%_CHA_1.5A__R0,90%_DCH_3.0A__R0,10%_CHA_1.5A__R1,10%_CHA_3.0A__R1,50%_CHA_1.5A__R1,50%_CHA_3.0A__R1,50%_DCH_3.0A__R1,90%_CHA_1.5A__R1,90%_DCH_3.0A__R1,10%_CHA_1.5A__R2,10%_CHA_3.0A__R2,50%_CHA_1.5A__R2,50%_CHA_3.0A__R2,50%_DCH_3.0A__R2,90%_CHA_1.5A__R2,90%_DCH_3.0A__R2
338,A完整,train,12,72.9,72.9,25.83687724374948,25.50550030750551,24.78275333658577,24.62869000065152,24.94764643887824,36.08326932332744,34.59996047733411,16.3602977323263,16.008627899108753,11.048646328709976,11.163800008174215,11.48183834812055,16.43086872542013,16.063303745444507,9.460244128608318,7.86178606784841,4.315939812061701,3.933263636846325,4.752838728895828,5.548267110488461,4.8623190835036665
338,A完整,train,13,71.2,71.2,26.906874316122423,26.785789145856167,26.16759283390436,25.862297053334544,26.411253017253923,36.20774993893687,33.40638400622011,16.186078101793456,15.628782475668654,10.994979876255607,11.163132251422349,11.35162316696045,18.93135318344711,19.581455976967693,9.305588127132738,7.380723844650112,4.384044829211266,3.974284020903905,4.854352967323964,5.82361828537923,5.005541317692416
338,A完整,train,14,67.9,67.9,28.92941125996085,27.40056200627121,28.28667223496077,28.43128053790548,26.88982811880876,37.553727755053366,33.337820486235536,17.01863411755207,18.192275674015644,11.925166004901309,11.745959840340232,14.086054867839907,21.839121411885777,23.604168441231163,9.379224254773057,7.350154070284526,4.58504038021397,4.203714690414133,5.15961361087873,6.255632287378584,5.376057851757703
338,A完整,train,15,62.4,62.4,32.970783986679486,,32.98960598983107,,,44.21298052416815,38.51246026040503,18.02971333663914,,13.140312066662572,,,24.22216474480396,26.503541732029703,9.232945034834458,,5.44463255262817,,,,
338,A完整,train,16,60.3,60.3,35.2185624334321,,36.34131082045446,,,45.004816134174,41.07827988990017,16.154352648151757,,12.75889434266457,,,,29.852802362838883,7.0319635343979865,,5.402967159987785,,,,6.444541242707006
338,A完整,train,17,59.2,59.2,37.26513081013688,,38.13454144510106,,,47.88974290970973,38.12309128130413,15.011246496509099,,12.658237720255979,,,,35.99540450566493,6.459014998021748,,5.433408382514774,,,,6.7659504935338175
338,A完整,train,18,58.4,58.4,38.263403388818574,,38.92814559913942,,,48.253560730195495,43.70141045365356,14.807952341535039,,13.013549313024647,,,,32.49041956375592,6.2770311433592845,,5.5411937162643605,,,,6.995550356149613
338,A完整,train,19,57.7,57.7,39.51374665165601,,40.0344147431549,,,51.19660187872334,,14.337753860517395,,12.949441366785354,,,,,6.16084438249101,,5.603050920254638,,,,
338,A完整,train,20,57.1,57.1,42.33295264890731,42.99658343346683,42.27666186820789,43.84019745913154,40.35677798854402,,47.15573801416607,15.054167318243362,13.082798458855391,16.266086423710128,13.735463737249514,19.80990967397745,,38.91476847015404,5.85694833071141,5.497963497322261,5.871822428068961,5.082010891580876,7.302139961166187,,7.880086923535701
338,A完整,train,21,56.6,56.6,40.36554931818451,,40.05662023155239,,,49.24395148786202,,14.625846273779205,,14.44932483839042,,,,,6.119467681924885,,5.689240982977923,,,,
338,A完整,train,22,56.1,56.1,39.85656366925338,,41.22883160030167,,,46.48565368669825,,17.04517460454309,,13.886574907302055,,,,,6.3328971040503905,,5.718417702756874,,,,
