Battery_ID,筛选分类,split,ordinal,SOH,capacity_SOH,SOC10_R0,SOC50_R0,SOC90_R0,SOC10_R1,SOC50_R1,SOC90_R1,SOC10_R2,SOC50_R2,SOC90_R2
139,A完整,test,24,77.3,77.3,29.240798935721514,25.70800891128925,34.075087415751476,18.314278900690862,11.163266068958244,29.545968572309786,10.795398965652893,4.819428167492666,5.732291532968558
140,A完整,train,1,89.3,89.3,19.1625601291023,17.743294654013756,23.377429610614968,16.00072026420316,8.978329908707089,10.975548836941933,10.018269465304906,4.018438285852813,3.8695542185830027
140,A完整,train,2,89.1,89.1,20.535129274922816,18.6638876135833,24.173248436556868,16.3766516313188,9.128136679414188,11.453239933206554,9.70192021047306,4.201010153761436,4.0145357975841165
140,A完整,train,3,87.1,87.1,21.819025582151042,19.767419910587368,26.30482167542072,16.27628363749003,9.146874834756204,12.013487168981563,9.708215214635157,,
140,A完整,train,4,86.2,86.2,22.126986096229324,20.429567719788643,26.975035844521635,16.375394028492828,9.420550853986162,12.79774043097861,10.263163964711932,4.238497507056301,4.204106640832258
140,A完整,train,5,85.1,85.1,22.935609924313468,20.81770724142954,28.04020947197706,16.340613338274583,9.49129378427459,13.450146055786472,10.228536040007377,4.218009333784776,4.281259658402805
142,A完整,train,1,96.5,96.5,19.03099620946132,16.78309899322916,20.03687041353234,16.219560189967847,9.381547016112822,10.77681936406615,10.346967561909551,4.034241204287667,3.713621460463888
142,A完整,train,2,96.4,96.4,20.316200624152916,17.172328322105837,20.56024603199617,17.21303300262375,8.91008418131533,10.501553003898355,11.002111706350519,4.021836644520701,3.714439351893795
142,A完整,train,3,95.8,95.8,19.367115895954008,17.119807427755564,20.58443555906465,16.610537569616895,9.155225895983891,10.824154207879946,10.467970377664615,4.090076465613601,3.7419886615618103
142,A完整,train,4,94.5,94.5,19.343180108313625,17.256471920151753,21.044215404908687,16.511103648216398,9.127958492917385,10.904716999412896,10.337561006494527,4.079403846005983,3.7641428630968248
142,A完整,train,5,93.1,93.1,19.76213932360094,17.48744738146972,21.66406269696214,16.109871634637436,9.154334442700074,10.843978005920786,10.237735732099747,4.0425821033576375,3.790935663031022
142,A完整,train,6,91.8,91.8,19.859525526592925,17.713929541875363,21.93662256427783,16.04968850994609,9.342065947338249,11.260880501858306,10.171660858510382,4.111989507158121,3.849122574932154
142,A完整,train,7,90.5,90.5,19.69710280825762,18.09532808310645,22.47402052859056,16.364792154945583,9.322553623867687,11.44310743440281,9.987368301124114,4.106161160078153,3.8968985101794713
142,A完整,train,8,89.1,89.1,20.444072014877293,18.262824605933908,23.446217224230168,15.887702080014012,9.445619881680392,11.425098641388605,9.901521774627748,4.17560869813409,3.9494428723349584
142,A完整,train,9,87.9,87.9,20.43315772366881,18.858328724962533,24.426043787585016,16.138591103973823,9.472948032749892,11.4632008489625,9.85307916902844,4.221435620848125,4.009712846538633
142,A完整,train,10,86.5,86.5,21.203842828465064,19.26274300588837,25.6383641545859,15.92133094217978,9.71658892393658,11.594729443237457,9.866395462784075,4.28686434459256,4.034299372859082
142,A完整,train,11,83.9,83.9,22.052350296957542,20.95326912995904,28.00840981366813,17.338025263830627,10.25502978042424,12.389509552173994,10.272724678433569,4.446884045220364,4.267946891708021
142,A完整,train,12,76.8,76.8,24.718070513655938,22.824981839471228,30.87826301223511,16.938405253051485,11.686566361891249,14.666949185187704,10.01989592325482,4.612568125192083,4.631657969748428
142,A完整,train,13,71.6,71.6,26.19874966925375,25.058151261731243,32.367551028046684,16.380782128810488,11.618643548825537,16.459893310995568,8.940311991460462,4.5611947895171925,4.89111348019736
142,A完整,train,14,70.0,70.0,26.73577768781085,26.13474541771,34.91561994661575,16.407019439185472,11.51274385542491,16.22117127855708,8.32624374248298,4.6272814010890615,4.994811029076864
142,A完整,train,15,68.5,68.5,27.672166799610896,26.85884438743817,35.67126187981423,15.45718350918338,11.968035456358669,17.967637403694212,7.307171098101996,4.618789892922845,5.1703630454334455
142,A完整,train,16,67.7,67.7,28.364822057134454,27.97386896079292,37.69490046229665,15.027000284701565,11.472384003984526,18.013989364429328,6.852092636087124,4.754204050718198,5.224008308145983
142,A完整,train,17,66.8,66.8,29.17293227451486,28.90916983753263,36.14626087871232,13.848838734349503,11.339368570543131,21.7442471587024,5.932393522885722,4.772655735834859,5.336333385350612
142,A完整,train,18,66.1,66.1,29.690566542848472,29.486035537427725,40.617397783287885,13.249509058238393,11.600321106879672,19.5355878131221,5.497923867189783,4.836349055959623,5.3978469765319606
142,A完整,train,19,65.3,65.3,30.314775075443457,30.03870917511681,40.508495267834036,13.027645508523747,12.327901250536833,21.943779634856334,5.3089280262924685,4.889115101548762,5.504518707977649
